word,bio_tag
11800000.0,MON_B
61000000.0,MON_B
163920000.0,MON_B
21970000.0,MON_B
19140000.0,MON_B
49720000.0,MON_B
31758000.0,MON_B
42163000.0,MON_B
59202000.0,MON_B
16137000.0,MON_B
615130000.0,MON_B
400214000.0,MON_B
109219000.0,MON_B
55000000.0,MON_B
719020000.0,MON_B
22000000.0,MON_B
131308000.0,MON_B
54150000.0,MON_B
3484986755.0,MON_B
81200000.0,MON_B
121266019.0,MON_B
116900000.0,MON_B
37220000.0,MON_B
42520000.0,MON_B
318591000.0,MON_B
26863100.0,MON_B
99616000.0,MON_B
64504000.0,MON_B
558800000.0,MON_B
437000000.0,MON_B
10868000.0,MON_B
21854000.0,MON_B
24000000.0,MON_B
28512000.0,MON_B
29250000.0,MON_B
21656000.0,MON_B
21840000.0,MON_B
50000000.0,MON_B
39128000.0,MON_B
301467100.0,MON_B
200000000.0,MON_B
21974000.0,MON_B
19068000.0,MON_B
84551000.0,MON_B
21715000.0,MON_B
70710000.0,MON_B
21888900.0,MON_B
343732000.0,MON_B
1677143000.0,MON_B
274400000.0,MON_B
152979000.0,MON_B
22957000.0,MON_B
148390000.0,MON_B
25400000.0,MON_B
54200000.0,MON_B
303127000.0,MON_B
43560000.0,MON_B
209500000.0,MON_B
188000000.0,MON_B
300000000.0,MON_B
7389800.0,MON_B
1200000000.0,MON_B
22455000.0,MON_B
400000000.0,MON_B
459200000.0,MON_B
86915000.0,MON_B
49850000.0,MON_B
220920000.0,MON_B
28000000.0,MON_B
102421000.0,MON_B
92916000.0,MON_B
26900000.0,MON_B
29000000.0,MON_B
21993000.0,MON_B
27700000.0,MON_B
11761000.0,MON_B
16632000.0,MON_B
12000000.0,MON_B
1350000000.0,MON_B
17443000.0,MON_B
221080000.0,MON_B
177100000.0,MON_B
84300000.0,MON_B
156153000.0,MON_B
208057000.0,MON_B
57530000.0,MON_B
15869000.0,MON_B
370700000.0,MON_B
16676000.0,MON_B
228800000.0,MON_B
54934000.0,MON_B
135372000.0,MON_B
19890000.0,MON_B
9980000.0,MON_B
320100000.0,MON_B
54950000.0,MON_B
700000000.0,MON_B
229720000.0,MON_B
603700000.0,MON_B
39600000.0,MON_B
154500000.0,MON_B
105570000.0,MON_B
388872000.0,MON_B
32975800.0,MON_B
28937700.0,MON_B
17919000.0,MON_B
99000000.0,MON_B
50380000.0,MON_B
43704000.0,MON_B
54963000.0,MON_B
75112000.0,MON_B
53163000.0,MON_B
18260000.0,MON_B
74624000.0,MON_B
7796302000.0,MON_B
78960000.0,MON_B
53000000.0,MON_B
205195000.0,MON_B
312760000.0,MON_B
25000000.0,MON_B
271700000.0,MON_B
89686000.0,MON_B
21800000.0,MON_B
40920000.0,MON_B
21780000.0,MON_B
599950000.0,MON_B
80000000.0,MON_B
105568148.0,MON_B
246840000.0,MON_B
27632000.0,MON_B
39000000.0,MON_B
21978000.0,MON_B
182000000.0,MON_B
11770000.0,MON_B
47300000.0,MON_B
54956000.0,MON_B
97056000.0,MON_B
319651640.0,MON_B
31100000.0,MON_B
21922000.0,MON_B
69634000.0,MON_B
37269000.0,MON_B
95502000.0,MON_B
43728000.0,MON_B
53900000.0,MON_B
21231100.0,MON_B
399974278.0,MON_B
51450000.0,MON_B
26712000.0,MON_B
100473000.0,MON_B
172689000.0,MON_B
30700000.0,MON_B
99880000.0,MON_B
14760000.0,MON_B
29400000.0,MON_B
10539250.0,MON_B
16200000.0,MON_B
150000000.0,MON_B
292400000.0,MON_B
41130000.0,MON_B
525769810.0,MON_B
26279000.0,MON_B
20372160.0,MON_B
40348000.0,MON_B
18810000.0,MON_B
31600000.0,MON_B
48807000.0,MON_B
153340000.0,MON_B
100000000.0,MON_B
22020000.0,MON_B
46600000.0,MON_B
20970000.0,MON_B
73590000.0,MON_B
35107000.0,MON_B
38900000.0,MON_B
214290000.0,MON_B
27808000.0,MON_B
205024000.0,MON_B
255849000.0,MON_B
17380000.0,MON_B
1600200000.0,MON_B
